condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_734e958b365fba1a,0.01,0.9984127202367392,0.0015872797632606,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,1.0,0.997375952428628,0.002624047571372,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,2.0,0.9956688829590497,0.0043311170409504,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,3.0,0.9933619013818092,0.0066380986181908,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,4.0,0.9905085199237522,0.0094914800762477,20.0,0.0,0.0,4.0,False
rates_7d999caf853d6576,0.01,0.9970777883787332,0.0029222116212668237,40.0,0.0,0.0,8.0,False
rates_7d999caf853d6576,1.0,0.996057182884482,0.003942817115518027,40.0,0.0,0.0,8.0,False
rates_7d999caf853d6576,2.0,0.994367018757281,0.005632981242719048,40.0,0.0,0.0,8.0,False
rates_7d999caf853d6576,3.0,0.9920773806919897,0.007922619308010304,40.0,0.0,0.0,8.0,False
rates_7d999caf853d6576,4.0,0.9892416752376878,0.0107583247623122,40.0,0.0,0.0,8.0,False
rates_8a1b00d366269f2a,0.01,0.997321148085188,0.002678851914811986,5.0,0.0,0.0,16.0,False
rates_8a1b00d366269f2a,1.0,0.9962748329651863,0.0037251670348137367,5.0,0.0,0.0,16.0,False
rates_8a1b00d366269f2a,2.0,0.994559571067478,0.005440428932521946,5.0,0.0,0.0,16.0,False
rates_8a1b00d366269f2a,3.0,0.9922455154293102,0.007754484570689835,5.0,0.0,0.0,16.0,False
rates_8a1b00d366269f2a,4.0,0.9893864402068309,0.010613559793169136,5.0,0.0,0.0,16.0,False
rates_95304e3098130ea3,0.01,0.9989717483760064,0.0010282516239936,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,1.0,0.9979342195129828,0.0020657804870172,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,2.0,0.9962259667249416,0.0037740332750584,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,3.0,0.9939173452341868,0.0060826547658132,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,4.0,0.9910620104211478,0.0089379895788521,20.0,0.0,0.0,0.0,False
rates_a2a634c42104bf42,0.01,0.9982430930456716,0.0017569069543285,10.0,0.0,0.0,8.0,False
rates_a2a634c42104bf42,1.0,0.9971992584142416,0.0028007415857583,10.0,0.0,0.0,8.0,False
rates_a2a634c42104bf42,2.0,0.99548553393361,0.00451446606639,10.0,0.0,0.0,8.0,False
rates_a2a634c42104bf42,3.0,0.9931721859589564,0.0068278140410434,10.0,0.0,0.0,8.0,False
rates_a2a634c42104bf42,4.0,0.9903130151169168,0.0096869848830831,10.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,0.01,0.9986325165465748,0.0013674834534253,0.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,1.0,0.9975808653929376,0.0024191346070624,0.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,2.0,0.9958592716738124,0.0041407283261876,0.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,3.0,0.993537994184709,0.0064620058152909,0.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,4.0,0.9906709994129412,0.0093290005870588,0.0,0.0,0.0,8.0,False
rates_a8953962d6e58e19,0.01,0.9993612673539738,0.0006387326460262,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,1.0,0.9983159369919355,0.0016840630080643,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,2.0,0.996599815222045,0.003400184777955,10.0,0.0,0.0,0.0,False
