thermal_n_bar,retained_thermal_mass,thermal_tail_mass,effective_theta_xx_rad,predicted_h_XX_rad_per_gate,theta_xx_linear_mean_rad,theta_xx_variance_rad2,theta_xx_std_rad,mean_forced_null_coherence_abs,gamma_XX_phase_dispersion_per_gate,gamma_XX_with_residual_motion_per_gate,residual_motion_gamma_per_gate,first_order_displacement_abs,first_order_forced_branch_displacement_abs,first_order_xx_angle_rad,thermal_closure_loss,all_noise_zero_infidelity
0.01,1.0,0.0,0.7716612744646938,0.013736888932754487,0.7716612138240279,2.3915428283567083e-06,0.001546461389222734,0.9998752674358163,2.3913429799991237e-06,6.237017196843843e-05,5.997882898843931e-05,1.0007415106216802e-16,2.0014830212433605e-16,0.7853877864784089,0.00012473256418366052,0.0002487641440845
1.0,0.9999999999999998,2.220446049250313e-16,0.7565591646135025,0.028838998783945802,0.756539363121629,0.00045978289744125894,0.021442548762711466,0.9987465724329444,0.0004593623014945482,0.0006271068822090789,0.00016774458071453071,1.0007415106216802e-16,2.0014830212433605e-16,0.7853877864784089,0.0012534275670555983,0.0013018788028587
2.0,0.999999999302965,6.970349852863933e-10,0.7415721896119969,0.04382597378545139,0.7414925453138526,0.0013383138367068588,0.036582971950169095,0.9968036790392587,0.0013351574433490135,0.001600720052890444,0.00026556260954143035,1.0007415106216802e-16,2.0014830212433605e-16,0.7853877864784089,0.0031963209607412946,0.0030258929745734
3.0,0.9999996814440681,3.1855593185525777e-07,0.7268684621420235,0.05852970125542478,0.7266750139350014,0.002595952295701048,0.0509504886698945,0.9941408455834717,0.0025850432753274886,0.00293819330271945,0.0003531500273919615,1.0007415106216802e-16,2.0014830212433605e-16,0.7853877864784089,0.005859154416528289,0.0053504253160057
4.0,0.9999908656147666,9.13438523342247e-06,0.712460623236106,0.07293754016134224,0.712092026511736,0.004191555341362092,0.06474222224608986,0.990848045532952,0.00416558520083375,0.004597045443212974,0.00043146024237922416,1.0007415106216802e-16,2.0014830212433605e-16,0.7853877864784089,0.009151954467047974,0.0082214370008468
