time_sim,alpha_real_per_spin_eigenvalue,alpha_imag_per_spin_eigenvalue,alpha_abs_per_spin_eigenvalue
0.0,0.0,0.0,0.0
0.025183107443605555,1.9817879453144732e-05,-0.0031477636598552937,0.003147826044534801
0.05036621488721111,7.926837578429734e-05,-0.006295028257110757,0.006295527319710588
0.07554932233081667,0.0001783420634067664,-0.009441294808290505,0.009442979061113787
0.10073242977442222,0.0003170232346698313,-0.012586064488153996,0.012590056514221515
0.12591553721802778,0.0004952899023491143,-0.015728838708782347,0.015736634939346433
0.15109864466163334,0.0007131138031325469,-0.01886911919862702,0.018882589616581014
0.1762817521052389,0.0009704604021013815,-0.02200640808150835,0.022027795850741008
0.20146485954884444,0.001267288898205534,-0.02514020795555139,0.02517212897630799
0.22664796699245,0.0016035522307323914,-0.028270021972046547,0.028315464362370635
0.25183107443605557,0.0019791970867680596,-0.03139535391422254,0.031457677417564694
0.2770141818796611,0.0023941639096498636,-0.034515708275919134,0.034598643595011386
0.30219728932326667,0.002848386908408772,-0.03763059034014726,0.037738238397254036
0.3273803967668722,0.003341794068200226,-0.04073950625752395,0.04087633738119269
0.3525635042104778,0.0038743071617217536,-0.04384196312456977,0.044012816163016694
0.3777466116540833,0.0044458417616155144,-0.04693746906185625,0.04714755042313478
0.4029297190976889,0.005056307253853859,-0.05002553329199102,0.050280415911102765
0.42811282654129446,0.0057056068521057325,-0.0531056662174281,0.05341128845054835
0.4532959339849,0.006393637613081678,-0.05617737949809126,0.05654004394409308
0.47847904142850556,0.007120290452855,-0.05924018612879797,0.05966655837827121
0.5036621488721111,0.00788545016415648,-0.06229360051647166,0.06279070782844508
0.5288452563157167,0.008688995434639933,-0.06533713855713014,0.06591236846371715
0.5540283637593222,0.009530798866115693,-0.06837031771263798,0.06903141655183827
0.5792114712029277,0.01041072699474897,-0.07139265708721051,0.07214772846411191
0.6043945786465333,0.011328640312219893,-0.0744036775036576,0.07526118068029453
0.6295776860901389,0.01228439328784187,-0.07740290157935474,0.07837164979349133
0.6547607935337444,0.013277834391634779,-0.08038985380192984,0.08147901251504791
0.67994390097735,0.014308806118349308,-0.08336406060465337,0.08458314567943682
0.7051270084209555,0.015377145012438627,-0.08632505044152003,0.08768392624913954
0.7303101158645611,0.016482681693973496,-0.0892723538620101,0.09078123131952331
0.7554932233081666,0.01762524088549661,-0.09220550358551854,0.09387493812371252
0.7806763307517722,0.018804641439811996,-0.09512403457544005,0.09696492403745495
0.8058594381953778,0.020020696368705,-0.09802748411289831,0.10005106658398204
0.8310425456389833,0.02127321287258839,-0.10091539187010791,0.10313324343886361
0.8562256530825889,0.022561992371069768,-0.10378729998335696,0.10621133243485623
0.8814087605261944,0.023886830534435514,-0.10664275312559923,0.1092852115667456
0.9065918679698,0.025247517316046308,-0.10948129857864403,0.11235475899618254
0.9317749754134055,0.026643836985638956,-0.11230248630493242,0.11541985305651205
0.9569580828570111,0.028075568163529414,-0.11510586901888856,0.11848037225759596
0.9821411903006166,0.029542483855711413,-0.11789100225783455,0.12153619529062822
1.0073242977442223,0.031044351489845304,-0.12065744445245796,0.12458720103294334
1.0325074051878278,0.03258093295213122,-0.12340475699682034,0.12763326855281718
1.0576905126314333,0.0341519846250609,-0.1261325043178962,0.13067427711426033
1.0828736200750388,0.03575725742604205,-0.12884025394463086,0.13371010618180365
1.1080567275186444,0.03739649684688914,-0.13152757657650677,0.13674063542527598
1.13323983496225,0.039069442994174496,-0.1341940461516069,0.13976574472457354
1.1584229424058554,0.04077583063043308,-0.13683923991416486,0.14278531417442106
1.1836060498494612,0.04251538921621466,-0.1394627384815907,0.1457992240891246
1.2087891572930667,0.04428784295297643,-0.14206412591096196,0.14880735500731526
1.2339722647366722,0.046092910826809635,-0.14464298976496953,0.15180958769668437
1.2591553721802777,0.04793030665299289,-0.14719892117730748,0.15480580315870954
1.2843384796238833,0.049799739121365386,-0.14973151491749684,0.1577958826333711
1.3095215870674888,0.0517009118425127,-0.15224036945513286,0.1607797076038597
1.3347046945110943,0.05363352339475791,-0.15472508702354582,0.16375715980127362
1.3598878019547,0.05559726737195051,-0.1571852736828649,0.16672812120930677
1.3850709093983056,0.057591832432045596,-0.1596205393824754,0.1696924740689262
1.410254016841911,0.059616902346465696,-0.16203049802285951,0.17265010088304006
1.4354371242855166,0.061672156050237216,-0.16441476751681044,0.17560088442115443
1.4606202317291221,0.06375726769289375,-0.16677296985001042,0.1785447077240202
