nbar,zero_infidelity,full_noise_infidelity,full_noise_penalty,first_order_noise_penalty,first_order_prediction,total_pairwise_correction,pairwise_prediction,first_order_residual,pairwise_residual,first_order_relative_residual_to_noise_penalty,pairwise_relative_residual_to_noise_penalty,first_order_explained_fraction,pairwise_explained_fraction
0.01,0.0002487641440845,0.0019465015300067,0.0016977373859222,0.0016991717968569,0.0019479359409414001,-1.3761964369001477e-06,0.0019465597445045,-1.4344109347001407e-06,-5.8214497799993076e-08,-0.0008448956514678965,-3.4289459773174126e-05,1.000844895651468,1.0000342894597731
1.0,0.0013018788028587,0.0036443273817197,0.002342448578861,0.0023453924576541003,0.0036472712605128002,-2.99211110040107e-06,0.0036442791494123994,-2.9438787931003983e-06,4.823230730045466e-08,-0.0012567527926405282,2.0590551159038593e-05,1.0012567527926406,0.999979409448841
2.0,0.0030258929745734,0.0059807109118852,0.0029548179373118004,0.0029590549064953007,0.005984947881068701,-4.258600823302608e-06,0.005980689280245398,-4.2369691835002915e-06,2.1631639802316416e-08,-0.0014339188651856336,7.320802926354304e-06,1.0014339188651857,0.9999926791970737
3.0,0.0053504253160057,0.0088776454136556,0.0035272200976498996,0.003532592623587602,0.008883017939593302,-5.3909165292050434e-06,0.008877627023064098,-5.3725259377031265e-06,1.8390591501049602e-08,-0.0015231615235132927,5.213905282889152e-06,1.001523161523513,0.9999947860947171
4.0,0.0082214370008468,0.0122807652586385,0.0040593282577917,0.004065850085525501,0.0122872870863723,-6.629839475802424e-06,0.012280657246896498,-6.521827733800556e-06,1.080117420018678e-07,-0.0016066273332988523,2.6608279779922716e-05,1.0016066273332989,0.99997339172022
